年月,陸の平均気圧(hPa),降水量(mm),平均気温(℃),平均湿度(%),平均風速(m/s),日照時間(h),降雪量(cm),平均雲量,雪日数
2010/1,1017.7,47.5,5.8,70.0,2.1,132.2,7.0,6.5,7.0
2010/2,1014.2,192.0,9.5,68.0,2.3,131.9,0.0,7.2,1.0
2010/3,1013.9,176.5,11.3,69.0,2.7,131.9,0.0,7.1,1.0
2010/4,1012.4,225.5,14.8,65.0,2.5,156.8,0.0,7.6,0.0
2010/5,1006.9,284.5,20.0,65.0,2.3,208.2,0.0,6.9,0.0
2010/6,1005.5,401.0,23.8,75.0,2.3,121.2,0.0,8.7,0.0
2010/7,1005.7,362.0,27.3,79.0,2.4,154.8,0.0,7.8,0.0
2010/8,1007.8,58.0,29.6,71.0,2.6,208.6,0.0,6.2,0.0
2010/9,1008.4,118.0,26.2,71.0,2.2,185.1,0.0,6.5,0.0
2010/10,1011.1,85.0,20.0,68.0,2.5,134.3,0.0,7.6,0.0
2010/11,1015.5,29.0,12.5,68.0,1.9,193.6,0.0,5.1,0.0
2010/12,1011.2,93.5,8.0,72.0,2.1,127.5,3.0,6.2,5.0
2011/1,1018.4,2.5,2.8,66.0,2.0,122.8,1.0,6.8,10.0
2011/2,1014.6,39.5,8.4,66.0,2.0,150.2,0.0,6.4,1.0
2011/3,1015.8,50.5,8.3,60.0,2.3,207.0,0.0,5.7,0.0
2011/4,1010.8,67.0,14.9,60.0,2.5,0.0,0.0,5.4,0.0
2011/5,1007.1,125.5,20.5,68.0,2.6,141.1,0.0,8.2,0.0
2011/6,1004.5,928.5,24.0,80.0,2.3,0.0,0.0,8.9,0.0
2011/7,1003.0,253.0,27.7,73.0,2.7,188.3,0.0,7.8,0.0
2011/8,1004.9,384.5,28.0,73.0,2.5,180.8,0.0,7.4,0.0
2011/9,1005.0,75.5,25.4,68.0,2.7,169.2,0.0,7.0,0.0
2011/10,1013.1,107.0,19.4,71.0,2.0,152.0,0.0,6.6,0.0
2011/11,1016.4,88.5,15.6,73.0,1.9,0.0,0.0,6.5,0.0
2011/12,1019.0,32.5,7.3,66.0,1.9,139.3,0.0,6.6,3.0
2012/1,1017.4,25.5,5.4,64.0,2.0,155.1,0.0,6.5,3.0
2012/2,1015.5,129.0,5.9,69.0,2.2,102.3,0.0,7.7,10.0
2012/3,1013.4,200.0,10.7,66.0,2.3,161.0,0.0,6.5,0.0
2012/4,1009.9,99.0,16.2,61.0,2.4,202.5,0.0,6.1,0.0
2012/5,1006.1,59.0,20.8,64.0,2.3,189.0,0.0,6.8,0.0
2012/6,1002.2,698.5,23.3,76.0,2.1,77.1,0.0,9.2,0.0
2012/7,1003.5,488.5,27.5,76.0,2.4,0.0,0.0,8.0,0.0
2012/8,1004.6,142.5,28.9,70.0,2.8,199.8,0.0,7.5,0.0
2012/9,1007.8,111.0,24.7,71.0,2.1,0.0,0.0,7.0,0.0
2012/10,1011.5,97.0,18.8,66.0,2.1,220.1,0.0,4.7,0.0
2012/11,0.0,70.5,0.0,0.0,0.0,0.0,0.0,6.7,0.0
2012/12,1016.4,89.0,6.2,74.0,2.2,111.8,0.0,6.9,5.0
2013/1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,4.0
2013/2,1017.1,166.5,7.3,70.0,2.1,151.9,0.0,6.2,2.0
2013/3,1012.1,110.0,12.0,68.0,2.3,180.8,0.0,5.6,0.0
2013/4,1009.1,164.0,14.5,64.0,2.6,212.6,0.0,6.0,0.0
2013/5,1007.6,53.5,20.9,63.0,2.4,254.0,0.0,6.3,0.0
2013/6,1003.2,308.0,24.2,78.0,2.4,88.8,0.0,9.2,0.0
2013/7,1005.6,118.5,28.6,75.0,3.1,222.3,0.0,6.7,0.0
2013/8,1004.1,571.0,29.0,75.0,2.3,226.2,0.0,6.6,0.0
2013/9,1008.1,199.0,25.4,67.0,2.3,223.4,0.0,5.0,0.0
2013/10,1011.5,109.0,20.7,68.0,3.0,195.8,0.0,5.5,0.0
2013/11,1015.1,80.0,12.3,72.0,1.9,135.6,0.0,6.0,0.0
2013/12,1015.7,50.5,6.6,71.0,2.1,129.3,0.0,6.3,3.0
2014/1,1018.3,36.0,6.3,69.0,2.1,172.1,0.0,5.2,4.0
2014/2,1015.9,120.5,7.2,70.0,2.6,125.0,0.0,6.7,4.0
2014/3,1014.5,130.0,11.3,67.0,2.5,187.6,0.0,5.8,0.0
2014/4,1011.5,69.0,15.7,64.0,2.3,170.5,0.0,6.7,0.0
2014/5,1007.5,135.0,20.1,64.0,2.3,250.3,0.0,6.3,0.0
2014/6,1001.3,258.5,22.8,76.0,2.2,105.5,0.0,9.0,0.0
2014/7,1004.0,358.0,26.8,78.0,2.4,148.2,0.0,8.4,0.0
2014/8,1003.4,213.0,26.8,81.0,2.4,104.0,0.0,9.3,0.0
2014/9,1006.9,107.0,24.3,72.0,2.0,149.8,0.0,7.1,0.0
2014/10,1011.5,142.0,19.7,69.0,2.9,201.2,0.0,5.6,0.0
2014/11,1015.0,62.5,13.8,74.0,1.9,141.6,0.0,5.6,0.0
2014/12,1017.6,62.5,6.2,70.0,2.3,127.9,0.0,6.7,2.0
2015/1,1017.0,99.5,6.6,71.0,2.2,143.0,0.0,6.2,2.0
2015/2,1016.0,33.5,6.8,68.0,2.1,120.5,0.0,6.6,0.0
2015/3,1015.3,186.0,10.9,66.0,2.2,182.1,0.0,6.1,2.0
2015/4,1010.6,150.5,17.1,71.0,2.5,144.0,0.0,8.0,0.0
2015/5,1005.6,131.0,21.2,70.0,2.1,199.5,0.0,7.0,0.0
2015/6,1002.8,628.0,22.4,87.0,2.0,82.6,0.0,9.2,0.0
2015/7,1003.5,375.5,26.2,0.0,2.5,134.6,0.0,8.1,0.0
2015/8,1003.7,246.0,27.4,77.0,2.2,186.3,0.0,6.9,0.0
2015/9,1006.9,149.5,23.9,72.0,2.4,180.5,0.0,6.8,0.0
2015/10,1012.8,64.5,18.7,65.0,0.0,236.8,0.0,3.4,0.0
2015/11,1016.3,136.5,16.0,78.0,1.7,110.1,0.0,7.4,0.0
2015/12,1018.3,91.5,9.5,75.0,1.7,147.3,0.0,6.1,0.0
2016/1,1017.4,70.5,6.1,76.0,1.7,82.8,4.0,7.8,7.0
2016/2,1018.6,74.0,7.2,68.0,2.0,131.2,0.0,7.1,5.0
2016/3,1015.5,60.0,11.4,67.0,2.1,202.4,0.0,5.3,0.0
2016/4,1008.9,178.5,17.2,74.0,2.1,137.3,0.0,7.7,0.0
2016/5,1007.8,273.0,21.4,70.0,2.2,202.6,0.0,7.4,0.0
2016/6,1004.1,643.5,23.7,81.0,2.3,117.0,0.0,8.4,0.0
2016/7,1005.2,389.5,28.2,78.0,2.4,218.4,0.0,7.5,0.0
2016/8,1000.3,62.0,29.5,69.0,2.2,269.8,0.0,5.5,0.0
2016/9,1006.5,336.5,25.9,79.0,1.8,132.5,0.0,8.2,0.0
2016/10,1011.6,201.0,21.9,77.0,2.0,124.4,0.0,7.8,0.0
2016/11,1015.7,109.5,13.9,78.0,1.7,168.4,0.0,5.4,0.0
2016/12,1018.0,106.0,9.2,77.0,1.7,145.5,0.0,6.2,0.0
2017/1,1017.9,44.0,6.2,71.0,1.9,155.7,0.0,5.4,4.0
2017/2,1016.8,69.5,6.9,66.0,2.1,162.5,0.0,5.1,4.0
2017/3,1013.4,70.0,9.8,67.0,2.0,168.6,0.0,6.9,0.0
2017/4,1009.2,202.5,16.5,70.0,2.4,186.7,0.0,6.1,0.0
2017/5,1008.6,150.0,20.7,0.0,2.1,239.5,0.0,6.1,0.0
2017/6,1004.2,202.5,23.3,70.0,2.1,155.0,0.0,8.4,0.0
2017/7,1005.5,408.5,28.5,79.0,2.6,202.1,0.0,8.1,0.0
2017/8,1002.5,158.0,29.1,73.0,2.7,229.3,0.0,5.8,0.0
2017/9,1006.6,241.0,24.0,77.0,2.1,135.6,0.0,7.6,0.0
2017/10,1011.9,196.0,19.9,75.0,2.6,133.7,0.0,6.7,0.0
2017/11,1016.6,60.5,12.4,76.0,1.6,156.2,0.0,5.6,0.0
2017/12,1019.0,16.0,5.9,68.0,1.7,144.4,0.0,5.9,3.0
2018/1,1016.9,82.0,4.6,73.0,1.7,142.8,3.0,6.2,8.0
2018/2,1017.0,51.5,5.5,70.0,1.9,136.8,1.0,6.0,8.0
2018/3,1013.8,131.0,12.3,69.0,2.3,202.0,0.0,4.7,0.0
2018/4,1011.5,193.5,17.4,66.0,2.3,207.7,0.0,5.5,0.0
2018/5,1007.4,191.0,21.0,70.0,2.6,187.4,0.0,7.5,0.0
2018/6,1003.5,373.0,24.2,76.0,2.3,152.0,0.0,8.2,0.0
2018/7,1003.4,290.0,29.0,74.0,2.4,186.6,0.0,7.3,0.0
2018/8,1002.9,36.0,30.1,67.0,2.7,260.5,0.0,6.1,0.0
2018/9,1006.8,426.0,24.8,77.0,2.3,129.3,0.0,7.5,0.0
2018/10,1012.4,52.5,18.5,70.0,1.9,182.0,0.0,5.6,0.0
2018/11,1016.8,58.0,13.4,75.0,1.6,189.4,0.0,4.8,0.0
2018/12,1018.9,66.0,9.0,76.0,0.0,113.4,0.0,6.9,1.0
2019/1,1018.5,23.5,6.7,72.0,1.6,149.3,0.0,5.6,1.0
2019/2,1016.4,108.0,8.8,73.0,1.8,113.2,0.0,7.1,0.0
2019/3,1012.0,143.0,11.5,68.0,2.2,185.4,0.0,6.6,0.0
2019/4,1009.8,105.5,16.0,67.0,2.2,205.7,0.0,6.2,0.0
2019/5,1007.8,59.5,21.1,61.0,2.2,229.3,0.0,6.8,0.0
2019/6,1002.3,384.0,23.8,74.0,2.3,173.8,0.0,7.7,0.0
2019/7,1002.9,469.0,26.6,81.0,2.1,148.7,0.0,7.9,0.0
2019/8,1002.6,433.5,27.7,77.0,2.5,148.3,0.0,7.8,0.0
2019/9,1007.9,100.0,26.5,74.0,2.3,204.4,0.0,6.4,0.0
2019/10,1011.1,61.0,20.9,73.0,2.0,183.3,0.0,5.9,0.0
2019/11,1015.8,48.5,13.9,72.0,1.7,196.7,0.0,4.3,0.0
2019/12,1018.4,91.0,9.3,75.0,1.7,131.9,0.0,6.3,0.0
2020/1,1015.6,77.5,8.8,75.0,1.8,108.1,0.0,7.2,0.0
2020/2,1018.6,135.5,8.9,72.0,1.9,156.5,0.0,0.0,0.0
2020/3,1012.1,104.5,12.2,70.0,2.1,170.1,0.0,0.0,0.0
2020/4,1012.1,64.0,14.1,62.0,2.5,230.7,0.0,0.0,0.0
2020/5,1006.3,230.0,21.3,69.0,2.2,208.6,0.0,0.0,0.0
2020/6,1002.9,516.0,24.9,79.0,2.7,143.4,0.0,0.0,0.0
2020/7,1004.0,847.5,25.8,85.0,2.5,108.5,0.0,0.0,0.0
2020/8,1006.5,103.5,29.7,72.0,2.2,263.2,0.0,0.0,0.0
2020/9,1005.4,211.0,24.7,74.0,2.5,148.8,0.0,0.0,0.0
2020/10,1012.3,79.0,19.3,66.0,2.3,233.3,0.0,0.0,0.0
2020/11,1018.0,77.5,14.5,73.0,1.6,170.1,0.0,0.0,0.0
2020/12,1018.8,21.5,6.9,0.0,1.6,189.3,1.0,0.0,0.0
2021/1,1017.7,25.5,6.3,71.0,1.8,162.4,0.0,0.0,12.0
2021/2,1015.4,67.0,9.7,67.0,2.7,161.1,0.0,0.0,0.0
2021/3,1013.4,96.0,13.9,71.0,2.0,177.0,0.0,0.0,0.0
2021/4,1012.6,112.0,17.1,59.0,2.5,224.1,0.0,0.0,0.0
2021/5,1006.1,455.0,20.3,77.0,2.4,153.9,0.0,0.0,0.0
2021/6,1003.4,137.5,24.6,74.0,1.9,156.5,0.0,0.0,0.0
2021/7,1004.6,215.5,28.0,76.0,2.9,179.3,0.0,0.0,0.0
2021/8,1004.7,1002.5,27.0,0.0,2.3,142.7,0.0,0.0,0.0
2021/9,1007.6,94.5,26.1,77.0,2.2,176.9,0.0,0.0,0.0
2021/10,1014.0,5.0,21.0,67.0,1.8,246.3,0.0,0.0,0.0
2021/11,1014.6,114.5,13.0,0.0,1.6,163.4,0.0,0.0,0.0
2021/12,1018.5,22.5,7.8,66.0,1.8,169.6,0.0,0.0,7.0
2022/1,1017.1,58.0,6.1,65.0,1.7,175.6,0.0,0.0,5.0
2022/2,1018.5,17.5,5.6,59.0,1.9,144.8,0.0,0.0,6.0
2022/3,1012.4,139.5,12.6,65.0,2.0,167.6,0.0,0.0,0.0
2022/4,1011.7,220.0,17.1,64.0,2.1,212.4,0.0,0.0,0.0
2022/5,1008.0,105.5,20.7,65.0,2.0,182.2,0.0,0.0,0.0
2022/6,1004.7,237.5,24.6,74.0,2.5,181.4,0.0,0.0,0.0
2022/7,1002.6,283.5,28.4,75.0,2.6,165.4,0.0,0.0,0.0
2022/8,1004.7,195.5,29.1,73.0,2.5,222.6,0.0,0.0,0.0
2022/9,1004.9,144.5,26.4,69.0,2.9,160.0,0.0,0.0,0.0
2022/10,1014.5,40.5,19.6,66.0,1.9,221.1,0.0,0.0,0.0
2022/11,1014.5,32.5,15.8,69.0,1.6,182.7,0.0,0.0,0.0
2022/12,1017.6,27.5,6.4,68.0,1.7,139.0,0.0,0.0,0.0
2023/1,1017.9,91.5,6.2,69.0,1.7,146.1,0.0,0.0,5.0
2023/2,1018.1,72.0,8.5,67.0,1.9,136.2,0.0,0.0,1.0
2023/3,1014.9,122.0,13.6,65.0,1.9,195.1,0.0,0.0,0.0
2023/4,1010.2,236.0,17.0,62.0,2.4,195.7,0.0,0.0,0.0
2023/5,1008.7,194.0,20.8,67.0,2.0,207.1,0.0,0.0,0.0
2023/6,1004.1,262.5,24.2,76.0,2.0,122.5,0.0,0.0,0.0
2023/7,1006.0,507.5,28.2,77.0,2.5,157.8,0.0,0.0,0.0
2023/8,1000.6,143.5,29.3,72.0,2.3,189.6,0.0,0.0,0.0
2023/9,1007.1,49.5,27.2,72.0,1.9,194.5,0.0,0.0,0.0
2023/10,1012.5,23.5,19.1,63.0,1.8,229.2,0.0,0.0,0.0
2023/11,1016.2,51.0,14.1,68.0,1.6,192.6,0.0,0.0,0.0
2023/12,1018.8,48.5,8.8,73.0,1.6,134.2,0.0,0.0,4.0
